scientific_name,evalid,status
Pseudotsuga menziesii,PortlandOR2018Curr,NA
Acer macrophyllum,PortlandOR2018Curr,NA
Quercus garryana,PortlandOR2018Curr,NA
Taxus brevifolia,PortlandOR2018Curr,NA
Tsuga heterophylla,PortlandOR2018Curr,NA
Alnus rubra,PortlandOR2018Curr,NA
Acer circinatum,PortlandOR2018Curr,NA
Cornus nuttallii,PortlandOR2018Curr,NA
Juniperus scopulorum,PortlandOR2018Curr,NA
Laburnum anagyroides,PortlandOR2018Curr,NA
Salix discolor,PortlandOR2018Curr,NA
Malus pumila,PortlandOR2018Curr,NA
Abies grandis,PortlandOR2018Curr,NA
Quercus palustris,PortlandOR2018Curr,NA
Prunus emarginata,PortlandOR2018Curr,NA
Prunus cerasifera,PortlandOR2018Curr,NA
Acer x freemanii,PortlandOR2018Curr,NA
Chamaecyparis lawsoniana,PortlandOR2018Curr,NA
Acer pseudoplatanus,PortlandOR2018Curr,NA
Cornus florida,PortlandOR2018Curr,NA
Pinus densiflora,PortlandOR2018Curr,NA
Fraxinus latifolia,PortlandOR2018Curr,NA
Acer palmatum,PortlandOR2018Curr,NA
Cercidiphyllum japonicum,PortlandOR2018Curr,NA
Quercus acutissima,PortlandOR2018Curr,NA
Prunus avium,PortlandOR2018Curr,NA
Populus balsamifera,PortlandOR2018Curr,NA
Quercus rubra,PortlandOR2018Curr,NA
Acer saccharinum,PortlandOR2018Curr,NA
Camellia japonica,PortlandOR2018Curr,NA
Syringa reticulata,PortlandOR2018Curr,NA
Acer griseum,PortlandOR2018Curr,NA
Picea pungens,PortlandOR2018Curr,NA
Fraxinus excelsior,PortlandOR2018Curr,NA
Umbellularia californica,PortlandOR2018Curr,NA
Tilia cordata,PortlandOR2018Curr,NA
Juglans regia,PortlandOR2018Curr,NA
Liriodendron tulipifera,PortlandOR2018Curr,NA
Cedrus deodara,PortlandOR2018Curr,NA
Pinus contorta,PortlandOR2018Curr,NA
Pinus jeffreyi,PortlandOR2018Curr,NA
Liquidambar styraciflua,PortlandOR2018Curr,NA
Populus tremuloides,PortlandOR2018Curr,NA
Prunus domestica,PortlandOR2018Curr,NA
Pyrus communis,PortlandOR2018Curr,NA
Prunus laurocerasus,PortlandOR2018Curr,NA
Quercus bicolor,PortlandOR2018Curr,NA
Salix lasiolepis,PortlandOR2018Curr,NA
Cornus kousa,PortlandOR2018Curr,NA
Quercus velutina,PortlandOR2018Curr,NA
Magnolia grandiflora,PortlandOR2018Curr,NA
Cotinus obovatus,PortlandOR2018Curr,NA
Malus fusca,PortlandOR2018Curr,NA
Robinia pseudoacacia,PortlandOR2018Curr,NA
Betula pendula,PortlandOR2018Curr,NA
Crataegus monogyna,PortlandOR2018Curr,NA
Pinus thunbergii,PortlandOR2018Curr,NA
Acer ginnala,PortlandOR2018Curr,NA
Lagerstroemia indica,PortlandOR2018Curr,NA
Acer rubrum,PortlandOR2018Curr,NA
Fraxinus pennsylvanica,PortlandOR2018Curr,NA
Koelreuteria paniculata,PortlandOR2018Curr,NA
Acer saccharum,PortlandOR2018Curr,NA
